,Country of Origin,Variety,Mean Altitude (m),Harvest Year,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Total Cup Points,Moisture,Color,Quakers,Total_Defects,Coffee_Grade
84,Mexico,Caturra,1700.0,2020,Washed / Wet,7.75,7.58,7.33,7.58,7.5,7.5,10.0,10.0,10.0,7.5,82.75,12.3,Green,0,9,Exchange
85,Brazil,Mundo Novo,900.0,2020,Natural / Dry,7.58,7.5,7.0,7.83,7.67,7.5,10.0,10.0,10.0,7.67,82.75,11.0,Blue-Green,0,0,Specialty
86,Brazil,Other,1100.0,2021,Natural / Dry,7.5,7.5,7.58,7.5,7.5,7.5,10.0,10.0,10.0,7.58,82.67,11.5,Blue-Green,2,5,Premium
87,Colombia,Caturra,1574.0,2020,Washed / Wet,7.5,7.58,7.42,7.67,7.42,7.5,10.0,10.0,10.0,7.58,82.67,10.5,Greenish,0,0,Specialty
88,Costa Rica,Caturra,1850.0,2021,Washed / Wet,7.67,7.58,7.25,7.67,7.33,7.58,10.0,10.0,10.0,7.58,82.67,9.9,Green,1,5,Premium
89,Costa Rica,Caturra,1850.0,2021,Washed / Wet,7.67,7.58,7.25,7.67,7.33,7.58,10.0,10.0,10.0,7.58,82.67,9.9,Green,1,5,Premium
90,Indonesia,Mandheling,1200.0,2020,Washed / Wet,7.5,7.75,7.17,7.75,7.42,7.42,10.0,10.0,10.0,7.58,82.58,12.0,Green,4,7,Exchange
91,Mexico,Bourbon,1350.0,2021,Washed / Wet,7.75,7.58,7.25,7.58,7.5,7.5,10.0,10.0,10.0,7.42,82.58,11.6,Green,0,1,Specialty
92,Guatemala,Caturra,1650.0,2021,Washed / Wet,7.5,7.58,7.33,7.5,7.67,7.5,10.0,10.0,10.0,7.5,82.58,9.9,Green,1,4,Premium
93,Ecuador,Other,1200.0,2020,Washed / Wet,7.58,7.92,7.25,7.33,7.58,7.42,10.0,10.0,10.0,7.42,82.5,10.5,Green,0,1,Specialty
94,Brazil,Yellow Bourbon,1100.0,2021,Pulped natural / honey,7.5,7.42,7.33,7.58,7.58,7.58,10.0,10.0,10.0,7.5,82.5,12.0,Green,2,6,Premium
95,Brazil,Other,1250.0,2021,Natural / Dry,7.67,7.42,7.5,7.42,7.5,7.5,10.0,10.0,10.0,7.5,82.5,11.5,Yellow-Green,2,0,Premium
96,Guatemala,Other,1550.0,2020,Washed / Wet,7.5,7.42,7.5,7.5,7.5,7.58,10.0,10.0,10.0,7.5,82.5,12.0,Green,1,2,Premium
