,Country of Origin,Variety,Mean Altitude (m),Harvest Year,Processing Method,Moisture,Color,Coffee_Grade
136,Brazil,Other,1100.0,2021,Natural / Dry,11.5,Blue-Green,Premium
137,Colombia,Caturra,1574.0,2020,Washed / Wet,10.5,Greenish,Specialty
138,Costa Rica,Caturra,1850.0,2021,Washed / Wet,9.9,Green,Premium
139,Other,Catuai,1500.0,2019,Washed / Wet,10.0,Green,Specialty
140,Other,Other,1200.0,2020,Washed / Wet,12.0,Green,Grade 3 or Lower
141,Other,Bourbon,1350.0,2021,Washed / Wet,11.6,Green,Specialty
142,Guatemala,Caturra,1650.0,2021,Washed / Wet,9.9,Green,Premium
143,Other,Other,1200.0,2020,Washed / Wet,10.5,Green,Specialty
144,Brazil,Other,1100.0,2021,Pulped natural / honey,12.0,Green,Premium
145,Brazil,Other,1250.0,2021,Natural / Dry,11.5,Yellow-Green,Premium
146,Guatemala,Other,1550.0,2020,Washed / Wet,12.0,Green,Premium
147,Other,Caturra,1200.0,2021,Washed / Wet,10.5,Yellow-Green,Specialty
148,Brazil,Catuai,1150.0,2020,Natural / Dry,11.5,Green,Premium
149,Brazil,Catuai,1150.0,2020,Natural / Dry,11.5,Green,Premium
